benchmark,onnx_file,vnnlib_file,verdict,wall_s,train_s,verify_s,vnncomp_timeout_s,coverage,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,cex_x,cex_y,error,timestamp
acasxu_2023,ACASXU_run2a_4_6_batch_2000.onnx,prop_1.vnnlib,UNSAT,35.8,24.3,11.1,116,1.0000,9.1806,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:20:33.894672+00:00
acasxu_2023,ACASXU_run2a_4_7_batch_2000.onnx,prop_1.vnnlib,UNSAT,45.1,29.4,15.2,116,1.0000,9.2532,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:21:27.653249+00:00
acasxu_2023,ACASXU_run2a_4_8_batch_2000.onnx,prop_1.vnnlib,UNSAT,45.9,30.0,15.4,116,0.9995,8.7895,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:22:22.394497+00:00
acasxu_2023,ACASXU_run2a_4_9_batch_2000.onnx,prop_1.vnnlib,UNSAT,43.2,31.6,11.1,116,0.9990,16.9977,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:23:14.325927+00:00
acasxu_2023,ACASXU_run2a_5_1_batch_2000.onnx,prop_1.vnnlib,UNSAT,38.5,26.7,11.3,116,0.9995,6.0393,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:24:01.421251+00:00
acasxu_2023,ACASXU_run2a_5_2_batch_2000.onnx,prop_1.vnnlib,UNSAT,37.2,25.6,11.2,116,1.0000,8.0864,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:24:47.359754+00:00
acasxu_2023,ACASXU_run2a_5_3_batch_2000.onnx,prop_1.vnnlib,UNSAT,43.7,31.9,11.3,116,1.0000,9.3837,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:25:39.936853+00:00
acasxu_2023,ACASXU_run2a_5_4_batch_2000.onnx,prop_1.vnnlib,UNSAT,41.9,26.3,15.1,116,1.0000,6.9354,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:26:30.593976+00:00
acasxu_2023,ACASXU_run2a_5_5_batch_2000.onnx,prop_1.vnnlib,UNSAT,48.6,33.0,15.2,116,1.0000,9.4621,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:27:27.842051+00:00
acasxu_2023,ACASXU_run2a_5_6_batch_2000.onnx,prop_1.vnnlib,UNSAT,44.2,32.3,11.5,116,0.9995,40.5133,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:28:20.745098+00:00
acasxu_2023,ACASXU_run2a_5_7_batch_2000.onnx,prop_1.vnnlib,UNSAT,45.7,34.0,11.1,116,1.0000,8.6862,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:29:14.962317+00:00
