benchmark,instance,method,hp_name,m,n_train,flow_epochs,scenario_n_samples,verdict,wall_s,vnncomp_timeout_s,coverage_empirical,coverage_n_test,q,epsilon_total,delta_total,error,timestamp
yolo_2023,patch-1.onnx+spec_onnx_patch-1_idx_16972_2.vnnlib,ours,full,,5000,2000,2000,UNKNOWN,166.0,350,1.0000,,22.5936,0.0010,0.9960,,2026-04-28T07:59:41+00:00
yolo_2023,patch-3.onnx+spec_onnx_patch-3_idx_05840_0.vnnlib,ours,full,,5000,2000,2000,UNSAT,159.6,350,1.0000,,34.2595,0.0010,0.9960,,2026-04-28T08:02:20+00:00
cifar10_resnet110,cifar10_test_0000_label_3,hashemi_clipping,m=500,500,,,,UNSAT,3.4,600,0.9970,1000,,0.0010,,,2026-04-28T08:02:24+00:00
cifar10_resnet110,cifar10_test_0001_label_8,hashemi_clipping,m=500,500,,,,UNSAT,3.9,600,0.9990,1000,,0.0010,,,2026-04-28T08:02:28+00:00
cifar10_resnet110,cifar10_test_0002_label_8,hashemi_clipping,m=500,500,,,,UNSAT,3.8,600,1.0000,1000,,0.0010,,,2026-04-28T08:02:32+00:00
cifar10_resnet110,cifar10_test_0000_label_3,hashemi_clipping,m=2000,2000,,,,UNSAT,14.5,600,1.0000,1000,,0.0010,,,2026-04-28T08:02:47+00:00
cifar10_resnet110,cifar10_test_0001_label_8,hashemi_clipping,m=2000,2000,,,,UNSAT,15.0,600,1.0000,1000,,0.0010,,,2026-04-28T08:03:02+00:00
cifar10_resnet110,cifar10_test_0002_label_8,hashemi_clipping,m=2000,2000,,,,UNSAT,15.4,600,1.0000,1000,,0.0010,,,2026-04-28T08:03:17+00:00
cifar10_resnet110,cifar10_test_0000_label_3,hashemi_clipping,m=8000,8000,,,,UNSAT,137.3,600,1.0000,1000,,0.0010,,,2026-04-28T08:05:34+00:00
cifar10_resnet110,cifar10_test_0001_label_8,hashemi_clipping,m=8000,8000,,,,UNSAT,134.6,600,1.0000,1000,,0.0010,,,2026-04-28T08:07:49+00:00
cifar10_resnet110,cifar10_test_0002_label_8,hashemi_clipping,m=8000,8000,,,,UNSAT,137.0,600,1.0000,1000,,0.0010,,,2026-04-28T08:10:06+00:00
cifar10_resnet110,cifar10_test_0000_label_3,ours,small,,1000,1000,500,UNSAT,160.5,600,1.0000,,6.2038,0.0010,0.9960,,2026-04-28T08:12:46+00:00
cifar10_resnet110,cifar10_test_0001_label_8,ours,small,,1000,1000,500,UNSAT,166.5,600,1.0000,,6.5982,0.0010,0.9960,,2026-04-28T08:15:33+00:00
cifar10_resnet110,cifar10_test_0002_label_8,ours,small,,1000,1000,500,UNSAT,165.7,600,1.0000,,6.2477,0.0010,0.9960,,2026-04-28T08:18:18+00:00
cifar10_resnet110,cifar10_test_0000_label_3,ours,medium,,2000,2000,1000,UNSAT,141.1,600,0.9995,,6.3965,0.0010,0.9960,,2026-04-28T08:20:40+00:00
cifar10_resnet110,cifar10_test_0001_label_8,ours,medium,,2000,2000,1000,UNSAT,138.9,600,1.0000,,6.1672,0.0010,0.9960,,2026-04-28T08:22:58+00:00
cifar10_resnet110,cifar10_test_0002_label_8,ours,medium,,2000,2000,1000,UNSAT,153.8,600,1.0000,,6.0458,0.0010,0.9960,,2026-04-28T08:25:32+00:00
cifar10_resnet110,cifar10_test_0000_label_3,ours,full,,5000,2000,2000,UNSAT,179.4,600,0.9995,,8.8086,0.0010,0.9960,,2026-04-28T08:28:32+00:00
cifar10_resnet110,cifar10_test_0001_label_8,ours,full,,5000,2000,2000,UNSAT,197.9,600,1.0000,,9.4712,0.0010,0.9960,,2026-04-28T08:31:50+00:00
cifar10_resnet110,cifar10_test_0002_label_8,ours,full,,5000,2000,2000,UNSAT,162.8,600,1.0000,,10.5105,0.0010,0.9960,,2026-04-28T08:34:32+00:00
vit_small_cifar10,cifar10_test_0000_label_3,hashemi_clipping,m=500,500,,,,UNSAT,54.3,600,0.9950,1000,,0.0010,,,2026-04-28T08:35:28+00:00
