benchmark,instance,method,hp_name,m,n_train,flow_epochs,scenario_n_samples,verdict,wall_s,vnncomp_timeout_s,coverage_empirical,coverage_n_test,q,epsilon_total,delta_total,error,timestamp
dist_shift_2023,mnist_concat.onnx+index7027_delta0.13.vnnlib,ours,full,,5000,2000,2000,UNSAT,37.6,300,0.9990,,4.2562,0.0010,0.9960,,2026-04-28T07:07:28+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,1.2,900,0.9960,1000,,0.0010,,,2026-04-28T07:07:29+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10_0.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,1.2,900,0.9930,1000,,0.0010,,,2026-04-28T07:07:30+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10_1.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,1.1,900,0.9980,1000,,0.0010,,,2026-04-28T07:07:31+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10.vnnlib,hashemi_clipping,m=2000,2000,,,,UNKNOWN,5.8,900,1.0000,1000,,0.0010,,,2026-04-28T07:07:37+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10_0.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,5.8,900,0.9990,1000,,0.0010,,,2026-04-28T07:07:43+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10_1.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,6.0,900,0.9990,1000,,0.0010,,,2026-04-28T07:07:49+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10.vnnlib,hashemi_clipping,m=8000,8000,,,,SAT,69.9,900,0.9990,1000,,0.0010,,,2026-04-28T07:08:59+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10_0.vnnlib,hashemi_clipping,m=8000,8000,,,,UNSAT,73.7,900,1.0000,1000,,0.0010,,,2026-04-28T07:10:12+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10_1.vnnlib,hashemi_clipping,m=8000,8000,,,,UNSAT,72.4,900,1.0000,1000,,0.0010,,,2026-04-28T07:11:25+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10.vnnlib,ours,small,,1000,1000,500,UNKNOWN,17.8,900,1.0000,,7.4913,0.0010,0.9960,,2026-04-28T07:11:42+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10_0.vnnlib,ours,small,,1000,1000,500,UNKNOWN,20.9,900,1.0000,,4.4972,0.0010,0.9960,,2026-04-28T07:12:03+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10_1.vnnlib,ours,small,,1000,1000,500,UNKNOWN,18.7,900,1.0000,,4.5054,0.0010,0.9960,,2026-04-28T07:12:22+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10.vnnlib,ours,medium,,2000,2000,1000,UNKNOWN,22.6,900,0.9995,,6.4768,0.0010,0.9960,,2026-04-28T07:12:45+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10_0.vnnlib,ours,medium,,2000,2000,1000,UNKNOWN,26.7,900,1.0000,,4.5432,0.0010,0.9960,,2026-04-28T07:13:11+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10_1.vnnlib,ours,medium,,2000,2000,1000,UNKNOWN,24.5,900,1.0000,,4.1657,0.0010,0.9960,,2026-04-28T07:13:36+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10.vnnlib,ours,full,,5000,2000,2000,UNKNOWN,37.1,900,0.9995,,5.3357,0.0010,0.9960,,2026-04-28T07:14:13+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10_0.vnnlib,ours,full,,5000,2000,2000,UNKNOWN,48.2,900,1.0000,,4.0717,0.0010,0.9960,,2026-04-28T07:15:01+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10_1.vnnlib,ours,full,,5000,2000,2000,UNSAT,48.0,900,0.9995,,4.9672,0.0010,0.9960,,2026-04-28T07:15:49+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_418.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,1.1,20,0.9920,1000,,0.0010,,,2026-04-28T07:15:50+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_992.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,1.0,20,0.9930,1000,,0.0010,,,2026-04-28T07:15:51+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_132.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,1.0,20,1.0000,1000,,0.0010,,,2026-04-28T07:15:52+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_418.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,5.0,20,1.0000,1000,,0.0010,,,2026-04-28T07:15:57+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_992.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,4.8,20,1.0000,1000,,0.0010,,,2026-04-28T07:16:02+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_132.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,4.9,20,1.0000,1000,,0.0010,,,2026-04-28T07:16:07+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_418.vnnlib,hashemi_clipping,m=8000,8000,,,,TIMEOUT,25.8,20,,,,,,timeout 20s,2026-04-28T07:16:33+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_992.vnnlib,hashemi_clipping,m=8000,8000,,,,SKIPPED,,20,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T07:16:33+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_132.vnnlib,hashemi_clipping,m=8000,8000,,,,SKIPPED,,20,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T07:16:33+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_418.vnnlib,ours,small,,1000,1000,500,UNKNOWN,6.5,20,0.9995,,3.3565,0.0010,0.9960,,2026-04-28T07:16:39+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_992.vnnlib,ours,small,,1000,1000,500,UNKNOWN,10.5,20,1.0000,,4.3445,0.0010,0.9960,,2026-04-28T07:16:50+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_132.vnnlib,ours,small,,1000,1000,500,UNKNOWN,5.2,20,1.0000,,4.2414,0.0010,0.9960,,2026-04-28T07:16:55+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_418.vnnlib,ours,medium,,2000,2000,1000,UNKNOWN,12.5,20,1.0000,,3.7074,0.0010,0.9960,,2026-04-28T07:17:08+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_992.vnnlib,ours,medium,,2000,2000,1000,UNKNOWN,16.9,20,0.9995,,3.9454,0.0010,0.9960,,2026-04-28T07:17:25+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_132.vnnlib,ours,medium,,2000,2000,1000,UNKNOWN,11.1,20,0.9995,,3.5986,0.0010,0.9960,,2026-04-28T07:17:36+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_418.vnnlib,ours,full,,5000,2000,2000,TIMEOUT,20.0,20,,,,,,timeout 20s,2026-04-28T07:17:56+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_992.vnnlib,ours,full,,5000,2000,2000,SKIPPED,,20,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T07:17:56+00:00
safenlp_2024,perturbations_0.onnx+hyperrectangle_132.vnnlib,ours,full,,5000,2000,2000,SKIPPED,,20,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T07:17:56+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_0.onnx+property_N=8_0.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,1.0,600,0.9940,1000,,0.0010,,,2026-04-28T07:17:57+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_1.onnx+property_N=8_1.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,1.0,600,0.9990,1000,,0.0010,,,2026-04-28T07:17:58+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_2.onnx+property_N=8_2.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,1.0,600,1.0000,1000,,0.0010,,,2026-04-28T07:17:59+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_0.onnx+property_N=8_0.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,4.5,600,1.0000,1000,,0.0010,,,2026-04-28T07:18:03+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_1.onnx+property_N=8_1.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,4.6,600,1.0000,1000,,0.0010,,,2026-04-28T07:18:08+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_2.onnx+property_N=8_2.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,4.6,600,1.0000,1000,,0.0010,,,2026-04-28T07:18:12+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_0.onnx+property_N=8_0.vnnlib,hashemi_clipping,m=8000,8000,,,,UNSAT,51.0,600,1.0000,1000,,0.0010,,,2026-04-28T07:19:03+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_1.onnx+property_N=8_1.vnnlib,hashemi_clipping,m=8000,8000,,,,UNSAT,47.3,600,1.0000,1000,,0.0010,,,2026-04-28T07:19:51+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_2.onnx+property_N=8_2.vnnlib,hashemi_clipping,m=8000,8000,,,,UNSAT,47.3,600,1.0000,1000,,0.0010,,,2026-04-28T07:20:38+00:00
