instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
46,0,ACASXU_run2a_4_4_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,22.346094,1.0000,4.4504e-03,,28.7,0.1,28.8,,2026-05-06T19:41:39.236653+00:00
47,0,ACASXU_run2a_2_9_batch_2000.onnx,prop_8.vnnlib,sat,scenario,UNKNOWN,6.859711,0.9990,4.7955e-03,,28.7,0.4,29.1,,2026-05-06T19:42:08.595018+00:00
48,0,ACASXU_run2a_1_3_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNSAT,7.212758,1.0000,1.3450e-03,,29.6,0.3,29.9,,2026-05-06T19:43:30.734460+00:00
49,0,ACASXU_run2a_2_3_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,8.141217,1.0000,4.4504e-03,,29.4,0.1,29.5,,2026-05-06T19:44:30.084080+00:00
50,0,ACASXU_run2a_3_1_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,3.833439,0.9995,1.3450e-03,,30.0,0.3,30.3,,2026-05-06T19:45:23.990249+00:00
51,0,ACASXU_run2a_5_1_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,6.039131,0.9995,4.4504e-03,,29.7,0.1,29.8,,2026-05-06T19:46:22.711665+00:00
52,0,ACASXU_run2a_4_6_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,3.499807,1.0000,1.3450e-03,,27.5,0.3,27.8,,2026-05-06T19:46:50.699399+00:00
53,0,ACASXU_run2a_1_8_batch_2000.onnx,prop_3.vnnlib,sat,scenario,UNKNOWN,4.225847,1.0000,4.4504e-03,,29.5,0.1,29.6,,2026-05-06T19:47:50.621481+00:00
54,0,ACASXU_run2a_5_5_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,4.222649,1.0000,1.3450e-03,,29.5,0.3,29.8,,2026-05-06T19:48:20.688896+00:00
55,0,ACASXU_run2a_5_4_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,6.935943,1.0000,4.4504e-03,,28.7,0.1,28.8,,2026-05-06T19:49:19.841252+00:00
56,0,ACASXU_run2a_2_7_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.238321,0.9995,1.3450e-03,,27.7,0.3,28.0,,2026-05-06T19:49:48.045565+00:00
57,0,ACASXU_run2a_1_8_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,5.280363,1.0000,4.4504e-03,,28.9,0.1,29.0,,2026-05-06T19:50:39.515400+00:00
