instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
39,0,ACASXU_run2a_2_6_batch_2000.onnx,prop_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,5.243239,0.9985,4.1681e-02,,28.4,0.0,28.5,,2026-05-06T19:36:17.736917+00:00
40,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.893145,1.0000,4.4445e-03,,28.4,0.0,28.5,,2026-05-06T19:37:09.029155+00:00
41,0,ACASXU_run2a_5_1_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,6.039131,0.9995,4.4445e-03,,29.1,0.0,29.2,,2026-05-06T19:38:00.862727+00:00
42,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,12.087645,1.0000,4.4445e-03,,28.9,0.1,29.0,,2026-05-06T19:38:52.799455+00:00
43,0,ACASXU_run2a_5_2_batch_2000.onnx,prop_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,8.088700,1.0000,5.2280e-02,,29.9,0.0,30.0,,2026-05-06T19:39:23.042597+00:00
44,0,ACASXU_run2a_5_9_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,5.446670,0.9995,4.4445e-03,,26.1,0.1,26.1,,2026-05-06T19:40:18.058186+00:00
45,0,ACASXU_run2a_1_5_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.391994,1.0000,4.4445e-03,,28.9,0.1,29.0,,2026-05-06T19:41:10.471417+00:00
46,0,ACASXU_run2a_4_4_batch_2000.onnx,prop_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,22.346094,1.0000,1.4449e-02,,28.7,0.0,28.7,,2026-05-06T19:41:39.461039+00:00
47,0,ACASXU_run2a_2_9_batch_2000.onnx,prop_8.vnnlib,sat,raw_mc_uniform,UNKNOWN,6.859711,0.9990,1.5154e-02,,28.7,0.1,28.8,,2026-05-06T19:43:00.799226+00:00
48,0,ACASXU_run2a_1_3_batch_2000.onnx,prop_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,7.212758,1.0000,4.4445e-03,,29.6,0.1,29.7,,2026-05-06T19:44:00.535284+00:00
49,0,ACASXU_run2a_2_3_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,8.141217,1.0000,4.4445e-03,,29.4,0.1,29.5,,2026-05-06T19:44:53.685920+00:00
50,0,ACASXU_run2a_3_1_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.833439,0.9995,4.4445e-03,,30.0,0.1,30.0,,2026-05-06T19:45:52.869770+00:00
51,0,ACASXU_run2a_5_1_batch_2000.onnx,prop_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,6.039131,0.9995,2.8270e-02,,29.7,0.0,29.8,,2026-05-06T19:46:22.926430+00:00
52,0,ACASXU_run2a_4_6_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.499807,1.0000,4.4445e-03,,27.5,0.1,27.5,,2026-05-06T19:47:21.050668+00:00
53,0,ACASXU_run2a_1_8_batch_2000.onnx,prop_3.vnnlib,sat,raw_mc_uniform,UNKNOWN,4.225847,1.0000,1.0000e+00,,29.5,0.0,29.5,,2026-05-06T19:47:50.831826+00:00
54,0,ACASXU_run2a_5_5_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.222649,1.0000,4.4445e-03,,29.5,0.0,29.5,,2026-05-06T19:48:51.081200+00:00
55,0,ACASXU_run2a_5_4_batch_2000.onnx,prop_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,6.935943,1.0000,6.0375e-02,,28.7,0.0,28.7,,2026-05-06T19:49:20.052116+00:00
56,0,ACASXU_run2a_2_7_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.238321,0.9995,4.4445e-03,,27.7,0.0,27.7,,2026-05-06T19:50:10.500720+00:00
57,0,ACASXU_run2a_1_8_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,5.280363,1.0000,4.4445e-03,,28.9,0.0,28.9,,2026-05-06T19:51:02.134282+00:00
58,0,ACASXU_run2a_5_6_batch_2000.onnx,prop_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,40.513744,0.9995,4.4445e-03,,26.3,0.0,26.4,,2026-05-06T19:51:51.057828+00:00
59,0,ACASXU_run2a_5_1_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.490248,1.0000,4.4445e-03,,28.2,0.1,28.2,,2026-05-06T19:52:49.862283+00:00
60,0,ACASXU_run2a_3_9_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.958579,0.9995,4.4445e-03,,28.8,0.1,28.9,,2026-05-06T19:53:49.340316+00:00
61,0,ACASXU_run2a_5_4_batch_2000.onnx,prop_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.242738,1.0000,4.4445e-03,,29.9,0.1,30.0,,2026-05-06T19:54:49.258797+00:00
62,0,ACASXU_run2a_4_9_batch_2000.onnx,prop_4.vnnlib,unsat,raw_mc_uniform,UNKNOWN,5.042088,0.9990,4.4445e-03,,29.8,0.1,29.8,,2026-05-06T19:55:49.866202+00:00
