instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
50,0,ACASXU_run2a_3_1_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,3.833439,0.9995,1.0000e-03,,30.0,0.1,30.1,,2026-05-06T19:45:52.816720+00:00
51,0,ACASXU_run2a_5_1_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,6.039131,0.9995,1.0000e-03,,29.7,0.1,29.8,,2026-05-06T19:46:22.888033+00:00
52,0,ACASXU_run2a_4_6_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,3.499807,1.0000,1.0000e-03,,27.5,0.1,27.6,,2026-05-06T19:47:20.997825+00:00
53,0,ACASXU_run2a_1_8_batch_2000.onnx,prop_3.vnnlib,sat,is_tilted,UNKNOWN,4.225847,1.0000,1.0000e-03,,29.5,0.1,29.6,,2026-05-06T19:47:50.793677+00:00
54,0,ACASXU_run2a_5_5_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,4.222649,1.0000,1.0000e-03,,29.5,0.1,29.6,,2026-05-06T19:48:51.041312+00:00
55,0,ACASXU_run2a_5_4_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,6.935943,1.0000,1.0000e-03,,28.7,0.1,28.8,,2026-05-06T19:49:20.012698+00:00
56,0,ACASXU_run2a_2_7_batch_2000.onnx,prop_3.vnnlib,unsat,is_tilted,UNSAT,4.238321,0.9995,1.0000e-03,,27.7,0.1,27.8,,2026-05-06T19:50:10.461234+00:00
57,0,ACASXU_run2a_1_8_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,5.280363,1.0000,1.0000e-03,,28.9,0.1,29.0,,2026-05-06T19:51:02.094421+00:00
58,0,ACASXU_run2a_5_6_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,40.513744,0.9995,1.0000e-03,,26.3,0.1,26.4,,2026-05-06T19:51:51.017967+00:00
59,0,ACASXU_run2a_5_1_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,4.490248,1.0000,1.0000e-03,,28.2,0.1,28.3,,2026-05-06T19:52:49.809750+00:00
