instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
62,0,ACASXU_run2a_4_9_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,5.042088,0.9990,1.0000e-03,,29.8,15.2,44.9,,2026-05-06T19:55:34.503329+00:00
63,0,ACASXU_run2a_3_7_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,4.097198,1.0000,1.0000e-03,,30.2,11.0,41.2,,2026-05-06T19:56:31.397315+00:00
64,0,ACASXU_run2a_4_5_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,10.464707,0.9990,1.0000e-03,,29.8,0.0,29.8,,2026-05-06T19:57:14.354424+00:00
65,0,ACASXU_run2a_2_9_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,5.724533,1.0000,1.0000e-03,,29.3,11.3,40.5,,2026-05-06T19:57:55.175525+00:00
66,0,ACASXU_run2a_2_4_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,6.929574,1.0000,1.0000e-03,,29.0,11.3,40.3,,2026-05-06T19:58:47.021670+00:00
67,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_9.vnnlib,unsat,amls,UNKNOWN,4.326838,1.0000,1.0000e-03,,29.3,0.2,29.5,,2026-05-06T19:59:28.283253+00:00
68,0,ACASXU_run2a_1_9_batch_2000.onnx,prop_7.vnnlib,sat,amls,UNKNOWN,35.192654,1.0000,1.0000e-03,,26.9,6.3,33.2,,2026-05-06T20:00:03.924438+00:00
69,0,ACASXU_run2a_5_9_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,7.535172,1.0000,1.0000e-03,,28.3,0.0,28.4,,2026-05-06T20:00:38.585430+00:00
70,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,11.257613,1.0000,1.0000e-03,,27.4,10.8,38.2,,2026-05-06T20:01:17.083064+00:00
71,0,ACASXU_run2a_3_6_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,11.673091,1.0000,1.0000e-03,,29.3,11.3,40.7,,2026-05-06T20:02:12.349850+00:00
72,0,ACASXU_run2a_5_6_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,40.513744,0.9995,1.0000e-03,,29.0,0.0,29.0,,2026-05-06T20:02:52.961118+00:00
73,0,ACASXU_run2a_5_9_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,7.535172,1.0000,1.0000e-03,,24.9,10.9,35.9,,2026-05-06T20:03:29.113103+00:00
74,0,ACASXU_run2a_4_1_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,332.995483,1.0000,1.0000e-03,,30.1,10.9,41.0,,2026-05-06T20:04:21.991144+00:00
75,0,ACASXU_run2a_4_5_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,10.464707,0.9990,1.0000e-03,,29.6,11.1,40.8,,2026-05-06T20:05:17.011200+00:00
76,0,ACASXU_run2a_5_3_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,3.814319,0.9995,1.0000e-03,,28.8,11.1,40.0,,2026-05-06T20:06:08.552285+00:00
77,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,3.887973,1.0000,1.0000e-03,,27.5,11.1,38.6,,2026-05-06T20:06:58.713070+00:00
78,0,ACASXU_run2a_5_5_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,9.462578,1.0000,1.0000e-03,,27.4,11.1,38.5,,2026-05-06T20:07:48.628014+00:00
79,0,ACASXU_run2a_2_6_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,3.490927,0.9990,1.0000e-03,,28.9,11.1,40.0,,2026-05-06T20:08:40.176798+00:00
80,0,ACASXU_run2a_3_4_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,4.428203,0.9995,1.0000e-03,,26.7,11.1,37.9,,2026-05-06T20:09:29.634120+00:00
81,0,ACASXU_run2a_5_3_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,9.383724,1.0000,1.0000e-03,,26.6,0.0,26.7,,2026-05-06T20:10:07.686701+00:00
82,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,5.193295,1.0000,1.0000e-03,,24.8,15.0,39.8,,2026-05-06T20:10:47.961840+00:00
83,0,ACASXU_run2a_2_3_batch_2000.onnx,prop_3.vnnlib,unsat,amls,UNSAT,4.660185,1.0000,1.0000e-03,,25.5,11.1,36.7,,2026-05-06T20:11:40.189387+00:00
84,0,ACASXU_run2a_1_5_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,8.452727,0.9995,1.0000e-03,,28.6,11.1,39.7,,2026-05-06T20:12:31.309726+00:00
85,0,ACASXU_run2a_1_2_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,14.022133,0.9985,1.0000e-03,,29.1,5.2,34.3,,2026-05-06T20:13:17.223870+00:00
86,0,ACASXU_run2a_3_6_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,3.299796,0.9995,1.0000e-03,,28.7,15.0,43.8,,2026-05-06T20:14:08.029008+00:00
87,0,ACASXU_run2a_3_7_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,4.293965,0.9995,1.0000e-03,,30.1,10.9,41.0,,2026-05-06T20:15:04.530733+00:00
88,0,ACASXU_run2a_3_7_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,15.688783,1.0000,1.0000e-03,,30.2,0.1,30.3,,2026-05-06T20:15:47.570032+00:00
89,0,ACASXU_run2a_4_8_batch_2000.onnx,prop_2.vnnlib,sat,amls,UNKNOWN,8.789539,0.9995,1.0000e-03,,27.9,0.1,28.0,,2026-05-06T20:16:15.898824+00:00
90,0,ACASXU_run2a_5_8_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,3.996401,0.9995,1.0000e-03,,26.5,15.1,41.5,,2026-05-06T20:16:57.926309+00:00
91,0,ACASXU_run2a_4_8_batch_2000.onnx,prop_1.vnnlib,unsat,amls,UNSAT,8.789539,0.9995,1.0000e-03,,29.2,11.3,40.5,,2026-05-06T20:17:53.783950+00:00
92,0,ACASXU_run2a_2_1_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,4.647217,1.0000,1.0000e-03,,30.0,11.3,41.3,,2026-05-06T20:18:46.717917+00:00
93,0,ACASXU_run2a_5_3_batch_2000.onnx,prop_4.vnnlib,unsat,amls,UNSAT,4.619105,0.9995,1.0000e-03,,28.7,11.3,40.0,,2026-05-06T20:19:38.416293+00:00
